id,category,year,rating,genre,certification,movies,degree
William Sadler,actor,,,,,2,2
Nina Dobrev,actor,,,,,5,1
Vanessa Redgrave,actor,,,,,2,2
Joris Jarsky,actor,,,,,1,2
Road to Perdition,movie,2002,7.7,"Crime, Drama, Thriller",R,,3
It Takes Two,movie,1995,5.9,"Comedy, Family, Romance",PG,,3
Elisha Cuthbert,actor,,,,,1,2
Ciarán McMenamin,actor,,,,,1,2
Liam Hemsworth,actor,,,,,5,2
Lori Petty,actor,,,,,2,2
The Godfather Part III,movie,1990,7.6,"Crime, Drama",R,,3
John Gallagher Jr.,actor,,,,,1,2
Avery Brooks,actor,,,,,1,2
Made in Dagenham,movie,2010,7.1,"Comedy, Drama, History",R,,3
Al Pacino,actor,,,,,11,2
Teddy Geiger,actor,,,,,1,2
Prakash Raj,actor,,,,,1,2
Michael Lerner,actor,,,,,2,2
Lucas Hedges,actor,,,,,1,2
Cake,movie,2014,6.4,Drama,R,,3
Tom Cullen,actor,,,,,1,2
Joan Allen,actor,,,,,2,2
Any Given Sunday,movie,1999,6.9,"Drama, Sport",R,,3
Forrest Gump,movie,1994,8.8,"Drama, Romance",PG-13,,3
Brainscan,movie,1994,6.0,"Horror, Sci-Fi",R,,3
Immortals,movie,2011,6.0,"Action, Drama, Fantasy",R,,3
Skeet Ulrich,actor,,,,,1,2
That Thing You Do!,movie,1996,7.0,"Comedy, Drama, Music",PG,,3
Chaos Theory,movie,2007,6.6,"Comedy, Drama, Romance",PG-13,,3
Brandon McGibbon,actor,,,,,1,2
Meet the Parents,movie,2000,7.0,"Comedy, Romance",PG-13,,3
The Whale,movie,2022,7.7,Drama,R,,3
Iain Glen,actor,,,,,1,2
Babou Ceesay,actor,,,,,1,2
Noomi Rapace,actor,,,,,2,2
The Untouchables,movie,1987,7.8,"Crime, Drama, Thriller",R,,3
Mervyn Johns,actor,,,,,1,2
Strange World,movie,2022,5.7,"Animation, Action, Adventure",PG,,3
Arthur Edmund Carewe,actor,,,,,1,2
Bonnie Mbuli,actor,,,,,1,2
Alan Arkin,actor,,,,,5,2
Austin Butler,actor,,,,,1,2
Marguerite Moreau,actor,,,,,1,2
James Saito,actor,,,,,1,2
Dani Popescu,actor,,,,,1,2
Adria Arjona,actor,,,,,1,2
In Time,movie,2011,6.7,"Action, Sci-Fi, Thriller",PG-13,,3
Hancock,movie,2008,6.4,"Action, Comedy, Drama",PG-13,,3
Cuba Gooding Jr.,actor,,,,,3,2
Special Forces,movie,2011,6.3,"Action, Drama, War",R,,3
Daisy Edgar-Jones,actor,,,,,1,2
Romeo Is Bleeding,movie,1993,6.6,"Crime, Drama, Romance",R,,3
Death Becomes Her,movie,1992,6.6,"Comedy, Fantasy, Horror",PG-13,,3
Hollow Man,movie,2000,5.8,"Action, Horror, Sci-Fi",R,,1
Hiroyuki Sanada,actor,,,,,1,2
J. Michael Finley,actor,,,,,1,2
Catlin Foster,actor,,,,,1,2
Benicio Del Toro,actor,,,,,6,2
Anthony Michael Hall,actor,,,,,2,2
Wilford Brimley,actor,,,,,1,2
Helena Zengel,actor,,,,,1,2
Jada Pinkett Smith,actor,,,,,3,2
Thunder Road,movie,2018,7.0,"Comedy, Drama",,,3
DragonHeart,movie,1996,6.4,"Action, Adventure, Fantasy",PG-13,,3
Sally Struthers,actor,,,,,1,2
The Uninvited,movie,2009,6.3,"Drama, Fantasy, Horror",PG-13,,3
Talia Shire,actor,,,,,1,2
Hitman's Wife's Bodyguard,movie,2021,6.1,"Action, Comedy, Crime",R,,3
Martin Kove,actor,,,,,1,2
Martin Landau,actor,,,,,1,2
Scream 4,movie,2011,6.2,"Comedy, Horror, Mystery",R,,3
Charlotte Rampling,actor,,,,,3,2
The One and Only Ivan,movie,2020,6.6,"Adventure, Comedy, Drama",PG,,3
Sandrine Holt,actor,,,,,1,2
Megan Fox,actor,,,,,1,2
Ted Danson,actor,,,,,2,2
Romola Garai,actor,,,,,2,2
Laurie Metcalf,actor,,,,,1,2
The Good Girl,movie,2002,6.4,"Drama, Romance",R,,3
The Manchurian Candidate,movie,2004,6.6,"Drama, Horror, Mystery",R,,3
Evan Rachel Wood,actor,,,,,3,2
David Warner,actor,,,,,1,2
Tom Arnold,actor,,,,,2,2
The Croods,movie,2013,7.2,"Animation, Action, Adventure",PG,,3
Sandra Kinder,actor,,,,,1,2
Ray Stevenson,actor,,,,,2,2
Jonathan Majors,actor,,,,,1,2
Jeremy Slate,actor,,,,,1,2
Dylan McDermott,actor,,,,,1,2
Elle Fanning,actor,,,,,2,2
Gattlin Griffith,actor,,,,,1,2
Michael Hogan,actor,,,,,1,2
Be Kind Rewind,movie,2008,6.4,Comedy,PG-13,,3
Tucker: The Man and His Dream,movie,1988,6.9,"Biography, Comedy, Drama",PG,,3
Chasing Mavericks,movie,2012,7.1,"Biography, Drama, Sport",PG,,3
In Good Company,movie,2004,6.5,"Comedy, Drama, Romance",PG-13,,3
Fried Green Tomatoes,movie,1991,7.7,Drama,PG-13,,3
There's Something About Mary,movie,1998,7.1,"Comedy, Romance",R,,3
Danny McBride,actor,,,,,1,2
Jodie Comer,actor,,,,,1,2
Justin Long,actor,,,,,4,2
Corey Feldman,actor,,,,,2,2
Mother!,movie,2017,6.6,"Drama, Horror, Mystery",R,,3
The Man with One Red Shoe,movie,1985,5.7,"Comedy, Thriller",PG,,3
Nora Arnezeder,actor,,,,,1,2
Peter Lawford,actor,,,,,1,2
X: First Class,movie,2011,7.7,"Action, Sci-Fi",PG-13,,1
Army of Darkness,movie,1992,7.4,"Comedy, Horror",R,,3
Megamind,movie,2010,7.3,"Animation, Action, Comedy",PG,,3
Rooney Mara,actor,,,,,2,2
Jerry O'Connell,actor,,,,,3,2
Maureen O'Hara,actor,,,,,2,2
54,movie,1998,5.9,"Drama, Music",R,,3
Constantine,movie,2005,7.0,"Action, Fantasy, Horror",R,,3
Leigh McCloskey,actor,,,,,1,2
Arthur Christmas,movie,2011,7.1,"Animation, Adventure, Comedy",PG,,3
Ric Young,actor,,,,,1,2
Dirty Dancing: Havana Nights,movie,2004,5.9,"Drama, Music, Romance",PG-13,,3
Alice Krige,actor,,,,,1,2
Queen Latifah,actor,,,,,1,2
Ragtime,movie,1981,7.3,Drama,PG,,3
Justin Theroux,actor,,,,,1,2
The Air I Breathe,movie,2007,6.7,"Crime, Drama, Thriller",R,,1
Apollo 13,movie,1995,7.7,"Adventure, Drama, History",PG,,1
Jodie Foster,actor,,,,,2,2
Jeremy Piven,actor,,,,,2,2
Thomas Mitchell,actor,,,,,1,2
Brion James,actor,,,,,1,2
Mickey Rourke,actor,,,,,19,1
Sophie Marceau,actor,,,,,2,2
Julianna Margulies,actor,,,,,1,2
A Dangerous Method,movie,2011,6.4,"Biography, Drama, Romance",R,,3
Balto,movie,1995,7.1,"Animation, Adventure, Drama",G,,1
Lucy Walters,actor,,,,,1,2
Harrison Ford,actor,,,,,5,2
Judy Davis,actor,,,,,1,2
Kriti Kharbanda,actor,,,,,1,2
Police Academy 3: Back in Training,movie,1986,5.4,Comedy,PG,,3
Christina Ricci,actor,,,,,4,2
Michael Peña,actor,,,,,3,2
Arnold Schwarzenegger,actor,,,,,2,2
Babylon,movie,2022,7.1,"Comedy, Drama, History",R,,3
Eli Roth,actor,,,,,1,2
Adam Baldwin,actor,,,,,1,2
Stellan Skarsgård,actor,,,,,5,2
George Grizzard,actor,,,,,1,2
Epic,movie,2013,6.6,"Animation, Action, Adventure",PG,,3
The Great Buck Howard,movie,2008,6.4,"Adventure, Comedy, Drama",PG,,3
The Tree of Life,movie,2011,6.8,"Drama, Fantasy",PG-13,,3
Hannah and Her Sisters,movie,1986,7.8,"Comedy, Drama",PG-13,,3
Lauren Bacall,actor,,,,,1,2
Simon Callow,actor,,,,,1,2
The Men Who Stare at Goats,movie,2009,6.2,"Comedy, War",R,,3
Eddie Marsan,actor,,,,,3,2
Mandy Moore,actor,,,,,1,2
Pump Up the Volume,movie,1990,7.2,"Comedy, Drama, Music",R,,3
Lost in Space,movie,1998,5.2,"Action, Adventure, Family",PG-13,,3
The Fabulous Baker Boys,movie,1989,6.9,"Comedy, Drama, Music",R,,3
Greta Scacchi,actor,,,,,2,2
Hunter McCracken,actor,,,,,1,2
Claire Forlani,actor,,,,,2,2
Halle Berry,actor,,,,,4,2
Peter Weller,actor,,,,,3,2
Bokeem Woodbine,actor,,,,,1,2
Sean Sullivan,actor,,,,,1,2
Connie Britton,actor,,,,,1,2
Hit: The First Case,movie,2022,6.8,"Action, Crime, Drama",,,3
Yun Qu,actor,,,,,1,2
Inventing the Abbotts,movie,1997,6.4,"Drama, Romance",R,,3
Rod Steiger,actor,,,,,1,2
Brendan Gleeson,actor,,,,,3,2
Hugh Laurie,actor,,,,,1,2
Rebecca Griffiths,actor,,,,,1,2
Olivier Martinez,actor,,,,,1,2
JFK,movie,1991,8.0,"Drama, History, Thriller",R,,3
Laggies,movie,2014,6.4,"Comedy, Drama, Romance",R,,3
Jonah Hill,actor,,,,,3,2
Carrie Underwood,actor,,,,,1,2
Trini Alvarado,actor,,,,,1,2
Tinker Tailor Soldier Spy,movie,2011,7.0,"Drama, Mystery, Thriller",R,,3
Mission: Impossible,movie,1996,7.1,"Action, Adventure, Thriller",PG-13,,3
Mr. & Mrs. Smith,movie,1941,6.3,"Comedy, Romance",Approved,,3
About Schmidt,movie,2002,7.2,Drama,R,,3
Shirley MacLaine,actor,,,,,4,2
Annie McEnroe,actor,,,,,1,2
Junebug,movie,2005,6.9,"Comedy, Drama",R,,3
Eliza Dushku,actor,,,,,1,2
Stephen Baldwin,actor,,,,,1,2
City by the Sea,movie,2002,6.1,"Crime, Drama, Mystery",R,,3
Only the Brave,movie,2017,7.6,"Action, Biography, Drama",PG-13,,3
Frank Madigan,actor,,,,,1,2
Safe House,movie,2012,6.7,"Action, Thriller",R,,3
David Caruso,actor,,,,,1,2
Anthony Mackie,actor,,,,,2,2
Vin Diesel,actor,,,,,1,2
James Mason,actor,,,,,2,2
Alexis Manenti,actor,,,,,1,2
A Cry in the Dark,movie,1988,6.9,"Biography, Drama",PG-13,,3
Blood and Wine,movie,1996,6.0,"Crime, Drama, Thriller",R,,3
August: Osage County,movie,2013,7.2,"Comedy, Drama",R,,3
Taking Lives,movie,2004,6.2,"Crime, Mystery, Thriller",R,,3
The Words,movie,2012,7.0,"Drama, Mystery, Romance",PG-13,,3
Judge Reinhold,actor,,,,,1,2
Maria Bakalova,actor,,,,,1,2
Ryan Boz,actor,,,,,1,2
Brown Sugar,movie,2002,6.5,"Comedy, Drama, Music",PG-13,,3
Harley Jane Kozak,actor,,,,,1,2
Jaboukie Young-White,actor,,,,,1,2
The Hours,movie,2002,7.5,"Drama, Romance",PG-13,,3
Paranoia,movie,2013,5.6,"Drama, Thriller",PG-13,,3
Illeana Douglas,actor,,,,,1,1
Aaliyah,actor,,,,,1,2
The Light Between Oceans,movie,2016,7.2,"Drama, Romance",PG-13,,3
Adriana Barraza,actor,,,,,2,2
David Paymer,actor,,,,,1,2
Nastassja Kinski,actor,,,,,1,2
Flawless,movie,1999,6.4,"Crime, Drama",R,,3
Daniel Day-Lewis,actor,,,,,1,2
William Forsythe,actor,,,,,1,2
